code,locale,name,descr
483,fr,name-7851278,descr-7851278
483,ro,name-7851279,descr-7851279
484,cs,name-11725705,descr-11725705
484,ro,name-11725706,descr-11725706
485,ja,name-24305876,descr-24305876
485,pl,name-24305877,descr-24305877
486,da,name-5566248,descr-5566248
487,cs,name-19702606,descr-19702606
487,th,name-19702607,descr-19702607
488,ko,name-30417447,descr-30417447
488,fi,name-30417448,descr-30417448
489,ro,name-375693,descr-375693
489,fr,name-375694,descr-375694
490,cs,name-18422029,descr-18422029
490,sv,name-18422030,descr-18422030
491,pl,name-8470314,descr-8470314
491,ms,name-8470315,descr-8470315
492,fr,name-4438448,descr-4438448
492,zh,name-4438449,descr-4438449
