code,locale,name,descr
793,es,name-9807510,descr-9807510
793,pt,name-9807511,descr-9807511
972,ru,name-17082724,descr-17082724
972,de,name-17082725,descr-17082725
973,zh,name-6342828,descr-6342828
973,es,name-6342829,descr-6342829
974,ar,name-12884826,descr-12884826
974,hu,name-12884827,descr-12884827
975,tr,name-10137275,descr-10137275
975,en,name-10137276,descr-10137276
976,zh,name-2367814,descr-2367814
976,sv,name-2367815,descr-2367815
977,pl,name-14386952,descr-14386952
977,tr,name-14386953,descr-14386953
978,fr,name-18306641,descr-18306641
978,pl,name-18306642,descr-18306642
979,ms,name-8069477,descr-8069477
979,cs,name-8069478,descr-8069478
980,pt,name-2319935,descr-2319935
980,ru,name-2319936,descr-2319936
